song_id,song_name,artist,album,play_count
3PIDciSFdrQxSQSihim3hN,Christmas (Baby Please Come Home),Mariah Carey,Merry Christmas,1
3UIeiuDKnbhZ7OoXZ9j0U5,You (Show Me Where My Days Went),Wallows,You (Show Me Where My Days Went),1
3UN5BBwxoHbwFGxWNvaEj7,The Mountain Is You,Chance Peña,"Ever-Shifting, Continual Blossoming",4
3US6iSyLP2uS07gjjU2ZkG,Heaven,The Walkmen,Heaven,1
3WxmlTZ85sCYFnuIXmUAEe,party favor,Billie Eilish,dont smile at me,2
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,blue,3
3eh51r6rFWAlGQRlHx9QnQ,Push Ups,Drake,Push Ups,2
3irQgbis0OXS652VmMe3xO,Strangers,Wingtip,All Your Friends Are Here,1
3kg7A13eqXpZnnyXEVcGsj,Jupiter,Matt Maltese,Krystal,1
3l3Zi7uotwaynXHtawz3C9,Behind,Myles Smith,Behind,1
3r1Fg9teKc6ZkZVtjJwCtV,Spin The Wheel (from the series Arcane League of Legends),Arcane,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),2
3rmqiQbzPDx7A8p88IRFKg,Love U Like That,Lauv,Love U Like That,1
3x8VM1G75erEHyrlrgwLme,Better,Regina Spektor,Begin to Hope,1
3yn01PcU95PTbiZ3xvop2j,Call Your Mom,Noah Kahan,Stick Season (We'll All Be Here Forever),1
4266h07udCdZ83jswW10IG,Stardust,ZAYN,ROOM UNDER THE STAIRS,1
49ukvVBtVT9Y575F6VY33G,Metaverse,Cage The Elephant,Neon Pill,4
4CLE6JL5eNGB2NDh5deLhS,Have A Good Summer (Without Me),Valley,We Don't Need Malibu,1
4CRvQmHsrb4az166lrheU3,Dig What You Dug,Wallows,Remote (Deluxe),1
4HMSZijzzsoyl5DVXrgyuz,Someone That's Better,Mark Ambor,Rockwood,3
4J5FI3nckt6wiZhTl9RM8N,Hard To Love,BOL4,Full Album RED PLANET,2
4Knjk2qN7Vm5VWtvy5giym,Catacombs,Krooked Kings,Shiver,1
4LFiAJjGrIiePoXhtuzpVI,Song Beneath the Song,Maria Taylor,11:11,1
4Skkx52Dh8yo4G1ijAEGs3,Solo,Myles Smith,Solo,1
4WpWJ03CD22dmzKzpNZlEh,Talking to a Mirror,Shiloh,Shiloh,1
4fCs9oQGvZGbnYXBkL4hYh,Exitlude,The Killers,Sam's Town,3
4faTuWPQeMo24zvuTDre3c,Anyone But You,Still Woozy,Anyone But You,1
4hJfmMjy3wFIOknfYwhouY,Wolves,One Direction,Made In The A.M. (Deluxe Edition),4
4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),Marshmello,Leave Before You Love Me,1
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,1
514rhnksEwHUh6LxXsQ4Y9,Back To You,Selena Gomez,13 Reasons Why (Season 2),1
52ooD6LHuXFubM6d1CDD93,YEAH RIGHT,Joji,BALLADS 1,4
